method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.021232,,0.021232,,0.021232,,39.166
exit_1,0.000000,,0.023972,,0.023972,,0.023972,,35.257
exit_2,0.000000,,0.026498,,0.026498,,0.026498,,32.370
exit_3,0.000000,,0.028913,,0.028913,,0.028913,,29.999
exit_4,0.000000,,0.030778,,0.030778,,0.030778,,28.316
exit_5,0.000000,,0.031952,,0.031952,,0.031952,,27.555
exit_6,0.000000,,0.034290,,0.034290,,0.034290,,25.780
exit_7,0.000000,,0.034947,,0.034947,,0.034947,,25.468
exit_8,0.000000,,0.035641,,0.035641,,0.035641,,25.023
exit_9,0.000000,,0.036293,,0.036293,,0.036293,,24.635
